index,study,study_type,gb,boot10,jack10,boot100,jack100,boot1000,jack1000,rep,rep100
13,M21602,phylogenetic,6,80,60,83,84,77,90,0.24,24
13,M21602,phylogenetic,1,20,70,45,57,48,57,0.04,4
13,M21602,phylogenetic,5,60,100,78,93,81,92,0.2,20
13,M21602,phylogenetic,3,30,20,47,60,51,62,0.12,12
13,M21602,phylogenetic,6,100,100,97,100,99,99,0.24,24
13,M21602,phylogenetic,3,100,90,92,95,91,93,0.12,12
13,M21602,phylogenetic,2,60,80,70,86,77,87,0.08,8
13,M21602,phylogenetic,8,100,100,97,100,98,99,0.32,32
13,M21602,phylogenetic,5,80,90,67,72,64,78,0.2,20
13,M21602,phylogenetic,2,10,10,1,13,2,6,0.08,8
13,M21602,phylogenetic,1,70,80,54,65,41,58,0.04,4
13,M21602,phylogenetic,2,20,30,50,57,47,62,0.08,8
13,M21602,phylogenetic,3,100,100,87,93,92,95,0.12,12
13,M21602,phylogenetic,1,50,70,65,66,59,60,0.04,4
13,M21602,phylogenetic,1,20,60,65,71,62,69,0.04,4
13,M21602,phylogenetic,2,10,20,37,33,42,40,0.08,8
13,M21602,phylogenetic,25,100,100,100,100,100,100,1,100
13,M21602,phylogenetic,11,100,100,99,100,98,100,0.44,44
13,M21602,phylogenetic,3,40,70,67,80,61,77,0.12,12
13,M21602,phylogenetic,10,100,100,100,100,99,100,0.4,40
13,M21602,phylogenetic,4,60,80,88,93,86,92,0.16,16
13,M21602,phylogenetic,15,100,100,100,100,100,100,0.6,60
13,M21602,phylogenetic,6,100,100,100,100,98,99,0.24,24
13,M21602,phylogenetic,2,80,100,84,88,87,89,0.08,8
13,M21602,phylogenetic,3,50,80,49,76,55,75,0.12,12
13,M21602,phylogenetic,4,60,80,81,88,86,95,0.16,16
13,M21602,phylogenetic,1,80,40,60,55,58,60,0.04,4
13,M21602,phylogenetic,5,70,100,77,91,84,93,0.2,20
13,M21602,phylogenetic,2,70,60,72,76,66,70,0.08,8
13,M21602,phylogenetic,2,10,30,20,38,23,34,0.08,8
13,M21602,phylogenetic,2,20,30,20,51,18,39,0.08,8
13,M21602,phylogenetic,8,80,90,89,94,85,92,0.32,32
13,M21602,phylogenetic,1,100,100,100,100,100,100,0.04,4
14,M21894,phylogenetic,1,100,80,89,89,85,87,0.07692307692,7.692307692
14,M21894,phylogenetic,6,100,100,83,95,77,87,0.4615384615,46.15384615
14,M21894,phylogenetic,7,90,90,74,89,77,87,0.5384615385,53.84615385
14,M21894,phylogenetic,7,100,70,88,85,85,86,0.5384615385,53.84615385
14,M21894,phylogenetic,11,100,100,99,97,98,98,0.8461538462,84.61538462
14,M21894,phylogenetic,1,80,50,49,61,41,59,0.07692307692,7.692307692
14,M21894,phylogenetic,7,90,80,90,88,90,89,0.5384615385,53.84615385
14,M21894,phylogenetic,1,70,40,62,53,61,68,0.07692307692,7.692307692
14,M21894,phylogenetic,1,60,10,41,61,45,64,0.07692307692,7.692307692
14,M21894,phylogenetic,1,100,80,89,86,87,87,0.07692307692,7.692307692
14,M21894,phylogenetic,7,90,60,56,69,69,66,0.5384615385,53.84615385
14,M21894,phylogenetic,11,100,100,98,100,97,98,0.8461538462,84.61538462
14,M21894,phylogenetic,2,70,60,49,73,56,61,0.1538461538,15.38461538
14,M21894,phylogenetic,13,100,100,100,100,100,100,1,100
14,M21894,phylogenetic,1,100,100,85,84,71,83,0.07692307692,7.692307692
14,M21894,phylogenetic,1,10,30,42,47,41,55,0.07692307692,7.692307692
14,M21894,phylogenetic,6,50,70,65,69,62,71,0.4615384615,46.15384615
14,M21894,phylogenetic,8,30,40,26,44,31,40,0.6153846154,61.53846154
14,M21894,phylogenetic,1,100,80,74,78,73,79,0.07692307692,7.692307692
14,M21894,phylogenetic,6,60,80,43,56,44,55,0.4615384615,46.15384615
14,M21894,phylogenetic,11,100,80,100,98,98,99,0.8461538462,84.61538462
14,M21894,phylogenetic,7,70,60,57,69,55,74,0.5384615385,53.84615385
14,M21894,phylogenetic,1,100,100,89,95,93,93,0.07692307692,7.692307692
14,M21894,phylogenetic,1,100,100,90,92,91,95,0.07692307692,7.692307692
14,M21894,phylogenetic,10,100,100,99,100,98,98,0.7692307692,76.92307692
14,M21894,phylogenetic,1,100,100,95,100,92,96,0.07692307692,7.692307692
14,M21894,phylogenetic,7,100,100,100,100,98,99,0.5384615385,53.84615385
14,M21894,phylogenetic,6,90,90,98,99,98,98,0.4615384615,46.15384615
14,M21894,phylogenetic,3,100,90,96,96,93,94,0.2307692308,23.07692308
14,M21894,phylogenetic,5,80,70,82,79,79,80,0.3846153846,38.46153846
